epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,5637.42,1.04158,0.58165,1.09409,0.66391,0.56405,0.57938,0.34887,1.46975,0.88397,1.12147,0.00034227,0.00034227,0.00034227
110,5682.35,1.02851,0.57362,1.09764,0.72051,0.53303,0.58657,0.35319,1.47072,0.8807,1.1227,0.000303842,0.000303842,0.000303842
111,5732.77,1.02231,0.56577,1.09587,0.72124,0.53407,0.58512,0.35296,1.46661,0.87217,1.12337,0.000268667,0.000268667,0.000268667
112,5786.58,1.02385,0.5766,1.10342,0.67257,0.56122,0.58664,0.35419,1.46374,0.86712,1.1208,0.000236769,0.000236769,0.000236769
113,5831.38,1.02925,0.57216,1.08479,0.65531,0.57095,0.58638,0.35449,1.467,0.87141,1.1207,0.000208169,0.000208169,0.000208169
114,5876.25,1.02425,0.57112,1.09044,0.68129,0.56288,0.5858,0.35418,1.46892,0.87428,1.12201,0.000182888,0.000182888,0.000182888
115,5921.02,1.03731,0.57093,1.08487,0.67405,0.56612,0.58876,0.35508,1.4682,0.8732,1.12253,0.000160943,0.000160943,0.000160943
116,5975.49,1.03042,0.56605,1.09261,0.68344,0.55799,0.5877,0.35543,1.46674,0.8698,1.12044,0.000142348,0.000142348,0.000142348
117,6028.31,1.01161,0.55669,1.08676,0.6888,0.55034,0.58681,0.3568,1.46859,0.86892,1.12148,0.000127117,0.000127117,0.000127117
118,6077.15,1.02894,0.56511,1.08661,0.69579,0.54641,0.58575,0.35587,1.47066,0.87157,1.12384,0.000115259,0.000115259,0.000115259
119,6127,1.03123,0.5619,1.08509,0.69103,0.55177,0.58619,0.35459,1.47433,0.87726,1.12403,0.000106784,0.000106784,0.000106784
120,6180.01,1.01401,0.55392,1.08985,0.68711,0.55233,0.58926,0.35571,1.47299,0.87345,1.12612,0.000101696,0.000101696,0.000101696
